method,seed,mae_prop,rmse_prop,mae_raw,rmse_raw
als_bias_lambda5,20260751,0.0811343506094887,0.103167256499477,3.1767955801105,4.98893803954619
als_bias_lambda10,20260751,0.0807524335701131,0.10369189025302,3.19337016574586,5.02589977101487
als_bias_lambda20,20260751,0.0821744277821626,0.104601080818326,3.19889502762431,5.01544575612145
paper_mean,20260752,0.0894501446987635,0.112613457696044,3.62983425414365,5.60731566351282
paper_median,20260752,0.0884648776637727,0.112325963585498,3.62430939226519,5.65978349155431
same_subject,20260752,0.0781767955801105,0.0971813742271603,3.16574585635359,5.20571296882686
als_bias_lambda1,20260752,0.0887691835481891,0.114242665451587,3.56353591160221,5.60140077192614
als_bias_lambda3,20260752,0.0887647987371744,0.114101099066927,3.5414364640884,5.54887873796308
als_bias_lambda5,20260752,0.0873599052880821,0.11341949666051,3.49723756906077,5.54090763851587
als_bias_lambda10,20260752,0.0867065684468999,0.111863175751387,3.50276243093923,5.47722557505166
als_bias_lambda20,20260752,0.0883285100412172,0.112594100719833,3.5414364640884,5.47873841186412
paper_mean,20260753,0.0961615364377795,0.11963513886299,3.70718232044199,5.69239096664372
paper_median,20260753,0.0962996579847409,0.119654935596768,3.7182320441989,5.69433177507606
same_subject,20260753,0.0653016749978076,0.0877332707721679,2.83425414364641,4.71918618323586
als_bias_lambda1,20260753,0.0915316144874156,0.115753131536707,3.77900552486188,6.12845910892157
als_bias_lambda3,20260753,0.090525738840656,0.114811747814082,3.74033149171271,6.03992243190469
als_bias_lambda5,20260753,0.0915605542401122,0.114984210570313,3.74033149171271,6.00046038749349
als_bias_lambda10,20260753,0.0890612119617645,0.113397170700167,3.66850828729282,5.92028071605613
als_bias_lambda20,20260753,0.0905143383320179,0.114811379843255,3.67403314917127,5.86354973285068
paper_mean,20260754,0.086785933526265,0.112416387896338,3.6353591160221,6.04129436206023
paper_median,20260754,0.0865259142330966,0.112006701668691,3.60220994475138,5.94356516333663
same_subject,20260754,0.0656121196176445,0.0885100425368636,2.87845303867403,5.09956124209509
als_bias_lambda1,20260754,0.0825497676050162,0.109450273957439,3.6353591160221,6.33066726864541
als_bias_lambda3,20260754,0.0814614575111813,0.108116091461873,3.58011049723757,6.23038358032722
als_bias_lambda5,20260754,0.0801188283784969,0.106655243524435,3.53591160220994,6.20728497334636
als_bias_lambda10,20260754,0.0799991230377971,0.108309061408094,3.51381215469613,6.17515964855022
als_bias_lambda20,20260754,0.0810799789529071,0.108269298737313,3.53038674033149,6.11266234009191
paper_mean,20260755,0.0899535210032448,0.114506001643584,3.41988950276243,5.24799356555326
paper_median,20260755,0.0914176094010348,0.115510746054832,3.43093922651934,5.29306854155842
same_subject,20260755,0.0721753047443655,0.093270063786049,3.02209944751381,4.98450638151897
als_bias_lambda1,20260755,0.0863588529334386,0.114014960955662,3.25966850828729,5.24851991764982
als_bias_lambda3,20260755,0.0869788652109094,0.114391088135075,3.28729281767956,5.17697836313575
als_bias_lambda5,20260755,0.0864969744803999,0.113778508359088,3.28176795580111,5.15398252922943
als_bias_lambda10,20260755,0.0868723143032535,0.112997031384204,3.29281767955801,5.06422835580891
als_bias_lambda20,20260755,0.0888669648338157,0.113328361622383,3.3646408839779,5.10497536533361
paper_mean,20260756,0.0871358414452337,0.11047614952608,3.51381215469613,5.48428190981266
paper_median,20260756,0.0874949574673332,0.111230365182138,3.53038674033149,5.50188315325255
same_subject,20260756,0.0766885907217399,0.0973949200577493,3.22099447513812,5.17484352660657
als_bias_lambda1,20260756,0.0821888976585109,0.104465226914102,3.43093922651934,5.80959389419515
als_bias_lambda3,20260756,0.0803692010874331,0.103451862031318,3.34806629834254,5.63924684442663
als_bias_lambda5,20260756,0.0795659037095501,0.103034087964375,3.28729281767956,5.53292505538511
als_bias_lambda10,20260756,0.0786499166885907,0.102349248517642,3.25966850828729,5.39592643569642
als_bias_lambda20,20260756,0.078473647285802,0.102315933029993,3.25966850828729,5.3517178529796
